"weeksábado" "weekterça" "no2_11" "weeksábado:no_7" "weeksegunda:no_9" "weeksegunda:no_10" "weekquarta:no_11" "weeksábado:no_13" "weeksegunda:no_13" "weeksábado:no2_8" "weekquinta:no2_9" "weeksegunda:no2_10" "weeksábado:no2_11" "weeksegunda:no2_11" "weeksábado:no2_12" "weekquarta:no2_13" "weeksábado:CO_7" "weeksexta:CO_7" "weekquinta:CO_8" "weeksábado:CO_8" "weekquarta:CO_9" "weeksegunda:CO_9" "weekterça:CO_9" "weekquarta:CO_10" "weeksábado:CO_10" "weeksexta:CO_10" "weekquarta:CO_11" "weekquinta:CO_11" "weekterça:CO_11" "weeksegunda:CO_12" "weekterça:CO_12" "weekquinta:CO_13" "weeksábado:CO_13" "weeksexta:CO_13" "weekterça:CO_13" "seasonFall" "seasonFall:Tem" "seasonWinter:Tem" "seasonSpring:Tem" "seasonFall:WS" "seasonSpring:WS" "ONI:seasonFall" "ONI:seasonWinter"
0 0 0.24783456064853 0 0 0 -0.0191073964814389 0 0 0 0 0 0 0 0 0.212810798322569 0 0 0 0 1.05397750955352 0 0 0.290074053194814 0 0 0.0986390366216199 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 0 0 0 0 0.0810033783897143 0 0 0 0 0 0 0 0.0867771113432942 0 0 0 0 0 0 0 0 0.886579758373144 0 0 0 1.28459604007133 0 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.219515686758329 0 0 0 0 0 0 0 -0.318153740588756 0 0 0 0 0 0 0 0.645978356637625 0 0 0 0 0 0 0 0 0
1 0 0.24783456064853 -0.192661334555045 0 0 0 -0.0493384954221666 0 0.0221691113141187 0 0 0.24783456064853 0 0.256268279039089 0 -0.106746932858935 0 0 -0.744194717209668 0 0 0 0 -0.470516421515261 0 0 0 0 0 0 0 0.254638051833299 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 -0.0683290635760459 -0.0527014858776145 0 0 -0.0493384954221666 0 0 0.114245088307253 0 0.24783456064853 0 0 0 0 0 0 0 2.74569380853024 0 0 0 0 0 0 0 -0.91028902828916 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0207975921791973 0 0 0 0 0 -0.360652066709873 0 0.446105239331437 0 0 0 0.60771397127898 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 -0.0191073964814389 0 0 0 0 0 0 0 0 0.212810798322569 0 0 0 0 1.5248033965603 0 0 -0.129390910205777 0 0 -1.04013011215497 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 0 0 0 0 0.0810033783897143 0 0 0 0 0 0 0 0.295330965138789 0 0 0 0 0 0 0 0 -0.550950988671237 0 0 0 -0.836294482943766 0 0 0 0 0 0 0 0 0 0 0
0 0 0.24783456064853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.223158252832518 0 0 0 0 0 0 0 1.46430258991028 0 0 0 0 0 0 0 -0.313612917746063 0 0 0 0 0 0 0 0 0
